Capacity,Occupancy,rownum,linear_fill
1354.0,248.1764705882353,0,248.1764705882353
,,1,296.3739495798319
1392.142857142857,344.57142857142856,2,344.57142857142856
,,3,391.8571428571429
1392.142857142857,439.14285714285717,4,439.14285714285717
,,5,261.57142857142856
450.0,84.0,6,84.0
1427.037037037037,548.925925925926,7,548.925925925926
1392.142857142857,611.0357142857143,8,611.0357142857143
,,9,642.9107142857143
1392.142857142857,674.7857142857143,10,674.7857142857143
,,11,706.3214285714287
1392.142857142857,737.8571428571429,12,737.8571428571429
,,13,757.8544973544974
1425.1851851851852,777.8518518518518,14,777.8518518518518
475.0,310.5,15,310.5
1451.090909090909,861.7272727272727,16,861.7272727272727
,,17,852.5673400673401
1427.037037037037,843.4074074074074,18,843.4074074074074
,,19,608.7037037037037
485.0,374.0,20,374.0
1425.7407407407406,836.5185185185185,21,836.5185185185185
1392.142857142857,813.7142857142857,22,813.7142857142857
,,23,811.1547619047619
,,24,808.5952380952381
1392.142857142857,806.0357142857143,25,806.0357142857143
1392.142857142857,782.2142857142857,26,782.2142857142857
,,27,763.5714285714286
1392.142857142857,744.9285714285714,28,744.9285714285714
,,29,730.2380952380953
,,30,715.547619047619
1392.142857142857,700.8571428571429,31,700.8571428571429
,,32,672.6071428571429
1392.142857142857,644.3571428571429,33,644.3571428571429
,,34,614.1785714285714
1392.142857142857,584.0,35,584.0
,,36,579.6741803278688
,,37,575.3483606557377
,,38,571.0225409836065
,,39,566.6967213114754
,,40,562.3709016393443
,,41,558.0450819672132
,,42,553.719262295082
,,43,549.3934426229508
,,44,545.0676229508197
,,45,540.7418032786885
,,46,536.4159836065573
,,47,532.0901639344262
,,48,527.764344262295
,,49,523.438524590164
,,50,519.1127049180328
,,51,514.7868852459017
,,52,510.4610655737705
,,53,506.13524590163934
,,54,501.8094262295082
,,55,497.4836065573771
,,56,493.1577868852459
,,57,488.83196721311475
,,58,484.50614754098365
,,59,480.1803278688525
,,60,475.8545081967213
,,61,471.52868852459017
,,62,467.202868852459
,,63,462.87704918032784
,,64,458.55122950819674
,,65,454.2254098360656
,,66,449.8995901639345
,,67,445.5737704918033
,,68,441.24795081967216
,,69,436.922131147541
,,70,432.59631147540983
,,71,428.2704918032787
,,72,423.9446721311475
,,73,419.6188524590164
,,74,415.29303278688525
,,75,410.96721311475414
,,76,406.641393442623
,,77,402.3155737704918
,,78,397.98975409836066
,,79,393.6639344262295
,,80,389.33811475409834
,,81,385.01229508196724
,,82,380.6864754098361
,,83,376.3606557377049
,,84,372.0348360655738
,,85,367.70901639344265
,,86,363.3831967213115
,,87,359.05737704918033
,,88,354.73155737704917
,,89,350.405737704918
,,90,346.0799180327869
,,91,341.75409836065575
,,92,337.42827868852464
,,93,333.1024590163935
,,94,328.7766393442623
,,95,324.45081967213116
1369.75,320.125,96,320.125
